operator_slug,source,metric,value,note,as_of,source_url
"stake","Tanzanite","30-day deposit volume","$2.25B","+13.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"roobet","Tanzanite","30-day deposit volume","$403.9M","+2.7% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"rainbet","Tanzanite","30-day deposit volume","$316.0M","-10.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"duel","Tanzanite","30-day deposit volume","$309.3M","+24.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"bc-game","Tanzanite","30-day deposit volume","$217.9M","+60.7% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"gamdom","Tanzanite","30-day deposit volume","$213.6M","+14.7% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"shuffle","Tanzanite","30-day deposit volume","$209.3M","+8.7% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"1win","Tanzanite","30-day deposit volume","$119.5M","+22.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"sportsbet-io","Tanzanite","30-day deposit volume","$82.9M","+59.3% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"thrill","Tanzanite","30-day deposit volume","$48.2M","-5.5% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"winna","Tanzanite","30-day deposit volume","$44.5M","+20.3% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"cloudbet","Tanzanite","30-day deposit volume","$31.7M","-36.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"duelbits","Tanzanite","30-day deposit volume","$26.1M","+21.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"500-casino","Tanzanite","30-day deposit volume","$25.0M","+27.3% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"razed","Tanzanite","30-day deposit volume","$23.9M","-8.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"yeet","Tanzanite","30-day deposit volume","$22.3M","-29.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"metawin","Tanzanite","30-day deposit volume","$21.8M","-23.6% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"betfury","Tanzanite","30-day deposit volume","$21.1M","+26.4% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"dicey","Tanzanite","30-day deposit volume","$20.4M","+32.3% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"solcasino","Tanzanite","30-day deposit volume","$14.9M","+1.5% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"gamba","Tanzanite","30-day deposit volume","$9.7M","+1.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"coincasino","Tanzanite","30-day deposit volume","$7.2M","+20.5% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"toshibet","Tanzanite","30-day deposit volume","$6.7M","+11.2% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"acebet","Tanzanite","30-day deposit volume","$5.4M","-1.2% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"housebets","Tanzanite","30-day deposit volume","$5.0M","-17.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"whale-io","Tanzanite","30-day deposit volume","$4.6M","+0.4% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"qzino","Tanzanite","30-day deposit volume","$3.8M","+25.2% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"degencity","Tanzanite","30-day deposit volume","$3.3M","+18.4% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"goated","Tanzanite","30-day deposit volume","$3.2M","+25.6% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"spartans","Tanzanite","30-day deposit volume","$2.7M","-23.1% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"rollbit","Tanzanite","30-day deposit volume","$1.6M","-95.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"shock","Tanzanite","30-day deposit volume","$1.5M","+4.0% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"wager-com","Tanzanite","30-day deposit volume","$505.1K","-64.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"cybet","Tanzanite","30-day deposit volume","$439.0K","-43.9% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"jackpotbet","Tanzanite","30-day deposit volume","$291.7K","-0.3% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"flush","Tanzanite","30-day deposit volume","$71.0K","-50.8% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"bluff","Tanzanite","30-day deposit volume","$23.5K","-95.0% vs prior 30d","2026-09-10","https://www.tanzanite.xyz/centralized/volume"
"stake","FairGambling","Deposit volume (reported period)","$2.2B","48.4% market share","2026-09-07","https://www.fairgambling.com/stake"
"stake","FairGambling","Hot wallet balance (all chains)","$137.4M","","2026-09-07","https://www.fairgambling.com/stake"
"roobet","FairGambling","Deposit volume (reported period)","$381.2M","8.5% market share","2026-09-03","https://www.fairgambling.com/roobet"
"roobet","FairGambling","Hot wallet balance (all chains)","$31.4M","","2026-09-03","https://www.fairgambling.com/roobet"
